forty-1 ..B.CC..B...AAB...DDD..E.....E.....E
forty-2 ..B.....B..C..BAACDDDE.C...EFF......
forty-3 BCDDE.BCFFE.AAGH....GHI...JHI...J...
forty-4 ........B.C.AAB.CDEEE.CDFGH.IIFGH.JJ
forty-5 ..BBB.CCC.D.AA..DEFFF.DEG.H.IIG.H.JJ
forty-6 ........B..CAAB..CD.BEEFDGGHIFJJJHIF
forty-7 ..BBC..DDDCE..AACE..FGGG..FHII...HJJ
forty-8 BBCDEEFFCDGH.IAAGH.I.....I.JJJ......
forty-9 BCCD..B.ED.FAAE..FGGHHHI..J..I..J...
forty-10 .BCCDD.B...E.B.AAE.F.GHH.F.GIJ.KKKIJ
forty-11 BBBC.D..EC.DAAE..F..EGGFHHH.I..JJ.I.
forty-12 BBCDE.F.CDE.FAADEG.....G.HII.G.H.JJJ
forty-13 .BBCCCDDDEFGAAHEFGI.HJJKILL..KMMNNNK
forty-14 BBC...D.CEEED.AAF.....F.GGHHHI.....I
forty-15 BCDDEEBC.FFFBG.AAHIG.JJHIKKKLMNNN.LM
forty-16 ...BCC...BDDAAEFGHIIEFGHJKKKLMJNNNLM
forty-17 BBBCCDEEFGGDAAFH.I...HJIKLLHJ.KMMMNN
forty-18 .BCCCD.B...D.AAEFGHHIEFGJ.IKKGJ.ILLL
forty-19 ..BCCC..B..DAAE..DFFE.GH.IJJGH.IKKKH
forty-20 ...BCC...B..AADE.F..DEGFHIIIGKH....K
forty-21 BBCD..E.CD..EAAD..E..FFFGGG.HIJJ..HI
forty-22 .BCCDE.BFGDEAAFGHIJ.KLHIJ.KL.IJMMMNN
forty-23 B.C.DDB.CEEEFAAG.HFI.G.HFIJJKLMMNNKL
forty-24 B.CDDDB.CE..BAAE..FFGG.H.....HIIJJ.H
forty-25 BB.CDE...CDEFAAC.GF.HIIGJJH..GKKH...
forty-26 B..C..B..CDDBAAE....FEGG..FHHI..F..I
forty-27 BBC.DDE.C...E.AAF.EGGGFH...IFH...IJJ
forty-28 BBCCCDE..FFDE..AAGHHIIJGKKL.JG..LMMM
forty-29 BBC.DE..C.DE..CAAE...FGGHIIF..H..F..
forty-30 B.CCC.BDDDEFAAGHEFIIGHEF...JKK.LLJ..
forty-31 BCDDEFBC..EFGAAH.IGJJH.IG.KLLLMMKNNN
forty-32 BBBCDEFGGCDEF.AADEHHI....JIKK..JLLMM
forty-33 BBCCCDE.FFGDE.AAGHIIJKKHLLJM..NNNM..
forty-34 BCCD.EB.FD.EAAFD.GHHIIJG..K.J...KLLL
forty-35 BB.C.DEF.C.DEFAAGHIJJKGHI.LKG.I.LMM.
forty-36 BCCD..B..DEEBAAF....GFHH..GIIJ..G..J
forty-37 BBBCDEFGGCDEF.AAD.HHI....JI.KK.JLLMM
forty-38 BCDDE.BCF.EGB.FAAGHHHI.G..JIKKLLJMM.
forty-39 ..BCCC..BDEEFAADGHFI..GHJIKKGLJMMNNL
forty-40 BCCDDDB.EEF.AAG.F.HHGIIJ.KKL.JMMML.J
