Jam-1 CC...HB..D.HBAAD.HB..D..F...GGF.EEE.
Jam-2 B..FFFB..G.KAA.GHKCCC.HK..E.IIDDEJJ.
Jam-3 .............AAC...BBC.F.D.C.F.DEE.F
Jam-4 D..F..D..F..DAAF....BCCC..B..E..GGGE
Jam-5 BB.F.GK..FCGKAAFCJKHHHCJE...IIE...DD
Jam-6 BB.G..HH.GFK.AACFKEEICFKD.IC..D..JJJ
Jam-7 .BFFGE.B.HGE.AAH.D..II.D...C.....C..
Jam-8 ...BBF..GGHFAAEIHFDDEIJJLLMKKKNNMCCC
Jam-9 .BGGHH.B.EIIAA.EFDKCCCFDK.J.FLK.J..L
Jam-10 BBG.HHEEG..FKAA..FKCCC.FK..IDDJJ.ILL
Jam-11 EBBH..E..H..EAAH....FCCC..F..G..DDDG
Jam-12 BFF..EB.H..EAAH..E..HCCC....G.DDD.G.
Jam-13 BBGGH...E.HF.IEAAFKI.DDFK..JCCKLLJMM
Jam-14 BBG.....G.HHEIAADJEILLDJ..K.CCFFK...
Jam-15 .BBGG.HHEEFKCLAAFKCLIDFKCLIDJJ.MMNN.
Jam-16 BBGGHFE.IIHFEDKAAF.DKCCC..K...JJ....
Jam-17 BFFF..B.GGHHAAE...IIEK..CCCKDJLLLKDJ
Jam-18 BBGF..HHGF..IAAF..ICCC..IEE...DDD...
Jam-19 ..BFF...B.G..DAAG..DHHC..EEEC.......
Jam-20 B..FFFBGGH..AAEH.J..E..J..IDDJ..ICCC
Jam-21 BBFE..G.FE..GAAE..GCCC...........DDD
Jam-22 ..BFFFG.BKHHGAAK...E.KIIDEJJ.LDCCC.L
Jam-23 ..FFFJ..BGGJ..BAAJ..HEII..HEDD..CCC.
Jam-24 ..BGG..HB...EHAAI.EDD.I.FFF.J.CC..J.
Jam-25 BBG.HHEEG..FKAA.IFKCCCIFKD.JLL.D.JMM
Jam-26 .B.FFFGB.HL.GAAHLEIKKKLEI.D..J..DCCJ
Jam-27 BGGF..BHHF..AAEF.J..EIIJ..D..J..DCCC
Jam-28 FFFB....KBGGAAK...HEKIILHECCCLDDJJ.L
Jam-29 FFF.K...B.K.AAB.KGHEEIIGHDDJ.LCCCJ.L
Jam-30 F.BJJJF.BG..FAAG..HHEE.C.....CIIDD.C
Jam-31 BB.FFF...GHHEAAG.KE.CIIKDDC..K..CJJJ
Jam-32 BBFGHH..FG..AAF...EIIDDKE..J.KCC.J.K
Jam-33 .BF.GG.BF...AAF...LEEIIKLDDJHKCCCJHK
Jam-34 B..FFFB..G.KAA.GHKCCCEHK..IEDDLLIJJ.
Jam-35 ..FBBK..FG.KAAFG.KHCCC..HEEID.JJ.ID.
Jam-36 FKKKBBFGHH.CFGAA.CLLLE.C..IEDDJJI...
Jam-37 BBG.HHEEG.FKCAA.FKCLLLFKC..IDDJJ.IMM
Jam-38 B..FFFBGGH..AAEH.K..EIIK..DJJK..DCCC
Jam-39 ..BFFF..BG..AAHG.CEEHIICDJKK.CDJLL..
Jam-40 FBB.G.FHE.GKFHEAAKCCCI.K..DIJJLLDMM.
